IRIS,DISP_MED21
920020407,36960.0
920040101,40440.0
920040102,33310.0
920040103,37750.0
920040104,36390.0
920040105,36660.0
920040201,39230.0
920040202,34510.0
920040203,38310.0
920040301,33800.0
920040302,31090.0
920040303,33840.0
920040304,
920040305,36150.0
920040401,36410.0
920040402,34410.0
920040403,37490.0
920040404,35100.0
920040501,25310.0
920040502,25520.0
920040503,
920040504,21190.0
920040601,17110.0
920040602,19930.0
920040603,26290.0
920040604,29030.0
920040701,18630.0
920040702,16340.0
920040703,18430.0
920040704,18110.0
920040705,17380.0
920040706,21180.0
920040707,21920.0
920070101,22270.0
920070102,22710.0
920070103,20040.0
920070104,21190.0
920070105,19580.0
920070106,21100.0
920070107,16970.0
920070108,21200.0
920070109,25940.0
920070110,21770.0
920070111,24130.0
920070112,20150.0
920070113,21630.0
920070114,17770.0
920070115,19110.0
920070116,18990.0
920070117,28110.0
920090101,22470.0
920090102,29950.0
920090103,32140.0
920090104,
920090105,31980.0
920090106,
920090107,34800.0
920090108,30700.0
920090109,38790.0
920090110,32080.0
920090111,34760.0
920090112,34270.0
920120101,45220.0
920120102,46680.0
920120103,41680.0
920120105,38060.0
920120106,37290.0
920120107,35920.0
920120201,38810.0
920120202,34360.0
920120203,35630.0
920120204,34790.0
920120205,34650.0
920120206,35850.0
920120207,31540.0
920120208,38870.0
920120301,30540.0
920120302,34010.0
920120303,31600.0
920120304,19700.0
920120305,33860.0
920120401,37290.0
920120402,17320.0
920120403,35700.0
920120404,29440.0
920120405,31730.0
920120406,32930.0
920120501,38290.0
920120502,36790.0
920120503,31170.0
920120504,31540.0
920120505,33490.0
920120506,33390.0
920120601,40420.0
920120602,39810.0
920120603,38990.0
920120604,36040.0
920120701,32450.0
920120702,42850.0
920120703,52280.0
920120704,42130.0
920120705,44210.0
920120706,41380.0
920120707,37180.0
920140101,20600.0
920140102,39090.0
920140103,33220.0
920140104,30360.0
920140105,33360.0
920140106,34810.0
920140107,39760.0
920140108,36220.0
920190101,26810.0
920190102,34840.0
920190103,36430.0
920190104,27400.0
920190105,21690.0
920190106,19240.0
920190107,17290.0
920190108,17450.0
920190109,28010.0
920190110,29930.0
920190111,30300.0
920190112,33480.0
920190113,34440.0
920190114,36250.0
920200101,28500.0
920200102,27840.0
920200103,23810.0
920200104,31670.0
920200105,23190.0
920200106,33700.0
920200107,34480.0
920200108,27480.0
920200109,30750.0
920200111,31560.0
920200112,35410.0
920220101,44320.0
920220102,32130.0
920220103,35910.0
920220104,31760.0
920220105,22340.0
920220106,31480.0
920220107,30670.0
920220108,26820.0
920220109,36980.0
920230101,35470.0
920230102,30090.0
920230103,30820.0
920230104,30610.0
920230105,35060.0
920230201,37540.0
920230202,36900.0
920230203,38490.0
920230301,31570.0
920230302,29770.0
920230303,38730.0
920230304,40050.0
920230401,33750.0
920230402,30470.0
920230501,
920230502,19220.0
920230503,17880.0
920230504,22400.0
920230505,17460.0
920230506,30710.0
920230507,29670.0
920240101,25470.0
920240102,25850.0
920240103,26440.0
920240104,24710.0
920240201,
920240202,20990.0
920240203,23540.0
920240301,16240.0
920240302,
920240303,22140.0
920240304,20590.0
920240401,22760.0
920240402,25060.0
920240403,21930.0
920240404,17710.0
920240405,17860.0
920240501,16890.0
920240502,24690.0
920240503,21610.0
920240504,26640.0
920240601,24020.0
920240602,30690.0
920250101,33530.0
920250102,31790.0
920250103,34520.0
920250104,36220.0
920250105,
920250106,28350.0
920250107,31950.0
920250108,38170.0
920250109,33400.0
920250110,32470.0
920250111,34140.0
920250113,28390.0
920250201,18240.0
920250202,17840.0
920250203,17460.0
920250204,22160.0
920250205,20620.0
920250206,22350.0
920250207,19360.0
920250208,22160.0
920250209,21200.0
920250210,19070.0
920250211,18180.0
920250212,29080.0
920250301,16270.0
920250302,27760.0
920250303,23530.0
920250304,31200.0
920250305,20080.0
920250306,32370.0
920250401,22130.0
920250402,18840.0
920250403,20960.0
920260101,34390.0
920260102,32400.0
920260103,29430.0
920260201,35570.0
920260202,33940.0
920260203,37840.0
920260204,33930.0
920260301,30340.0
920260302,37510.0
920260303,39940.0
920260304,41840.0
920260305,35180.0
920260402,28870.0
920260403,23220.0
920260404,33320.0
920260405,25620.0
920260406,33720.0
920260501,27000.0
920260502,24170.0
920260503,30360.0
920260504,22420.0
920260505,31820.0
920260506,21520.0
920260601,32660.0
920260602,34210.0
920260603,33870.0
920260701,31820.0
920260702,27550.0
920260703,31650.0
920260704,32180.0
920260705,38870.0
920320101,22410.0
920320102,23380.0
920320103,17270.0
920320104,35870.0
920320105,27660.0
920320106,25670.0
920320107,27890.0
920320108,25610.0
920320109,32340.0
920320110,33400.0
920320111,31290.0
920330101,33310.0
920330102,31410.0
920330103,45550.0
920330104,36360.0
920330105,41070.0
920330106,38160.0
920330107,36510.0
920330108,34490.0
920350101,27880.0
920350102,31530.0
920350103,33150.0
920350104,35700.0
920350105,34870.0
920350106,31460.0
920350108,33860.0
920350109,35730.0
920350110,37680.0
920350111,35690.0
920350112,25850.0
920360101,18830.0
920360102,16930.0
920360103,
920360104,17330.0
920360201,16270.0
920360202,20200.0
920360203,21120.0
920360204,18900.0
920360301,16890.0
920360302,16770.0
920360303,16360.0
920360401,
920360402,18080.0
920360403,16900.0
920360404,
920360501,19480.0
920360502,19650.0
920360503,21250.0
920360504,21280.0
920400101,31410.0
920400102,40860.0
920400103,37750.0
920400201,29270.0
920400202,33650.0
920400203,33320.0
920400204,33090.0
920400301,40340.0
920400401,37250.0
920400402,35990.0
920400403,30910.0
920400404,27600.0
920400501,32230.0
920400502,31550.0
920400504,29090.0
920400505,30130.0
920400601,36160.0
920400701,36900.0
920440103,37740.0
920440104,39310.0
920440105,41820.0
920440106,38430.0
920440107,31980.0
920440108,41200.0
920440109,37550.0
920440110,37090.0
920440111,37000.0
920440112,31650.0
920440113,31010.0
920440114,38840.0
920440115,37240.0
920440116,34640.0
920440117,37000.0
920440118,30230.0
920440119,
920440120,22440.0
920440121,20920.0
920440122,24370.0
920440123,36600.0
920440124,44850.0
920440125,43030.0
920440126,36720.0
920460101,19920.0
920460102,27570.0
920460103,27400.0
920460104,24800.0
920460105,29460.0
920460106,27830.0
920460107,24480.0
920460108,30190.0
920460109,27130.0
920460110,19580.0
920460111,29490.0
920480101,24460.0
920480102,23860.0
920480103,
920480104,19200.0
920480105,
920480106,23680.0
920480107,
920480201,35180.0
920480202,42800.0
920480203,30480.0
920480204,40790.0
920480205,42090.0
920480206,37530.0
920480207,39080.0
920480208,24660.0
920480209,37540.0
920480210,36350.0
920480211,38270.0
920480212,45150.0
920490101,25430.0
920490102,33440.0
920490103,24880.0
920490104,33620.0
920490105,28470.0
920490106,32350.0
920490107,33720.0
920490108,35840.0
920490109,28730.0
920490110,30570.0
920490111,34680.0
920490112,35970.0
920490113,34460.0
920490114,26420.0
920490115,24810.0
920490116,22690.0
920490117,29000.0
920500101,
920500102,26250.0
920500103,35470.0
920500203,27330.0
